,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,webURL,numViolations,id,impact,tags,description,help,helpUrl,html,failureSummary,DOM
103,418,60,5,https://calendar.google.com/,6,select-name,critical,"['cat.forms', 'wcag2a', 'wcag412', 'section508', 'section508.22.n', 'ACT', 'TTv5', 'TT5.c']",Ensures select element has an accessible name,Select element must have an accessible name,https://dequeuniversity.com/rules/axe/4.7/select-name?application=playwright,"[['<select id=""CountryCode"" name=""CountryCode"" required="""" field="""">']]",[['Fix all of the following:\n  Form element has explicit <label> that is hidden']],17
102,417,59,4,https://calendar.google.com/,6,link-in-text-block,serious,"['cat.color', 'wcag2a', 'wcag141', 'TTv5', 'TT13.a']",Ensure links are distinguished from surrounding text in a way that does not rely on color,Links must be distinguishable without relying on color,https://dequeuniversity.com/rules/axe/4.7/link-in-text-block?application=playwright,"[['<a href=""https://support.google.com/a/answer/6251069"" data-g-event=""calendar: body"" data-g-action=""migrate-your-organization’s-data-to-google-workspace"" data-g-label=""https://support.google.com/a/answer/6251069"" target=""_blank"" rel=""noopener noreferrer"">', '<a href=""https://support.google.com/a/topic/2798684"" data-g-event=""calendar: body"" data-g-action=""calendar-interop-tool"" data-g-label=""https://support.google.com/a/topic/2798684"" target=""_blank"" rel=""noopener noreferrer"">Calendar Interop tool</a>']]","[['Fix any of the following:\n  The link has insufficient color contrast of 1.34:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1a73e8, surrounding text: #5f6368)\n  The link has no styling (such as underline) to distinguish it from the surrounding text', 'Fix any of the following:\n  The link has insufficient color contrast of 1.34:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1a73e8, surrounding text: #5f6368)\n  The link has no styling (such as underline) to distinguish it from the surrounding text']]",17
101,416,58,3,https://calendar.google.com/,6,landmark-unique,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.7/landmark-unique?application=playwright,"[['<aside class=""container  tooltip-below "">']]","[['Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable']]",17
100,415,57,2,https://calendar.google.com/,6,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/4.7/duplicate-id?application=playwright,"[['<g id=""WeekdayShort"" class=""1"" fill=""rgb(95,99,104)"" font-size=""14"" font-family=""Google Sans Text"" font-style=""normal"" font-weight=""500"" aria-label=""TUE"" transform=""matrix(2,0,0,2,50,20.66699981689453)"" opacity=""1"" style=""display: block;"">', '<g id=""Title"" class=""1"" fill=""rgb(95,99,104)"" font-size=""14"" font-family=""Google Sans Text"" font-style=""normal"" font-weight=""500"" aria-label=""Weekly standup"" transform=""matrix(2,0,0,2,127,36.66699981689453)"" opacity=""1"" style=""display: block;"">', '<g id=""Time"" class=""1"" fill=""rgb(255,255,255)"" font-size=""14"" font-family=""Google Sans Text"" font-style=""normal"" font-weight=""400"" aria-label=""11 AM – 12 PM"" transform=""matrix(2,0,0,2,109,76.66699981689453)"" opacity=""1"" style=""display: block;"">']]","[['Fix any of the following:\n  Document has multiple static elements with the same id attribute: WeekdayShort', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: Title', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: Time']]",17
99,414,56,1,https://calendar.google.com/,6,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143', 'ACT', 'TTv5', 'TT13.c']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.7/color-contrast?application=playwright,"[['<a href=""#"" role=""button"" class=""cookieBarButton cookieBarConsentButton"">OK, got it</a>']]","[['Fix any of the following:\n  Element has insufficient color contrast of 3.56 (foreground color: #ffffff, background color: #4285f4, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1']]",17
30,185,13,0,https://myap.collegeboard.org/,3,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-one-main?application=playwright,"[['<html lang=""en"" data-cb-input-m=""initial"" data-cb-intent-m=""initial"" style=""display: block;"">']]",[['Fix all of the following:\n  Document does not have a main landmark']],5
32,187,15,2,https://myap.collegeboard.org/,3,region,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.7/region?application=playwright,"[['<div id=""root"">']]",[['Fix any of the following:\n  Some page content is not contained by landmarks']],5
31,186,14,1,https://myap.collegeboard.org/,3,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.7/page-has-heading-one?application=playwright,"[['<html lang=""en"" data-cb-input-m=""initial"" data-cb-intent-m=""initial"" style=""display: block;"">']]",[['Fix all of the following:\n  Page must have a level-one heading']],5
10,33,33,11,https://slack.com/,13,region,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.7/region?application=playwright,"[['<a class=""c-button v--primary c-skip-link is-focusable"" href=""#main_focusable"" data-clog-click="""" data-clog-ui-element=""link_skip"" data-clog-ui-component=""inc_skip_link"">Skip to main content</a>']]",[['Fix any of the following:\n  Some page content is not contained by landmarks']],1
0,22,22,0,https://slack.com/,13,aria-allowed-role,minor,"['cat.aria', 'best-practice']",Ensures role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.7/aria-allowed-role?application=playwright,"[['<video title=""Team discussing work in the Slack app"" role=""img"" data-js-id=""hero"" loop="""" muted="""" playsinline="""" poster=""https://a.slack-edge.com/2951054/marketing/img/homepage/e2e-prospects/animations/static/hero-product-ui.jpg"">', '<video title=""A connected team discussing work in multiple channels in the Slack app"" role=""img"" data-js-id=""connectedness"" loop="""" muted="""" playsinline="""">', '<video data-js-id=""flexibility"" title=""A user starting a huddle and recording a video clip the Slack app"" role=""img"" loop="""" muted="""" playsinline="""">', '<video data-js-id=""speed"" title=""Using the Workday integration to quickly file an expense report in the Slack app"" role=""img"" loop="""" muted="""" playsinline="""">']]","[['Fix any of the following:\n  ARIA role img is not allowed for given element', 'Fix any of the following:\n  ARIA role img is not allowed for given element', 'Fix any of the following:\n  ARIA role img is not allowed for given element', 'Fix any of the following:\n  ARIA role img is not allowed for given element']]",1
