#,Violation Type,webURL,Impact,Description,Affected HTML
1,image-alt-not-descriptive,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/485f10faf222cd48fea2ab3ee79c2d354e51ea33.html,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>"
2,image-alt-not-descriptive,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/2f7d82593e287df64b7459695e355a840254255c.html,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>"
3,image-alt-not-descriptive,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/bac67a5a2ada971100bbec89961ad3e6c869f268.html,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.," <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>"
4,lang-mismatch,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/b1a2ce0c3435765e96d31a3262f1ed8c1d92f817.html,Serious,Page language attribute does not match the actual language of the content.," <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>"
5,lang-mismatch,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/6616b9ffd712e7789c50b01da8420fd665786677.html,Serious,Page language attribute does not match the actual language of the content.,"  <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>"
6,lang-mismatch,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/61b97f487132c7aca3dd9787e9ff1454903d45fb.html,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>"
7,lang-mismatch,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/c4eaf50df4fa37f931374c74ac369a018b780ec6.html,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  "
8,lang-mismatch,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/864ccfb9bdb2c7f797602c5e4f25d1a0ad2aad7c.html,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > "
9,lang-mismatch,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/b1765660b28464b5a73e502ef30b7370ba294ff5.html,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>"
10,lang-mismatch,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/49b66676ed867c75368e31c1e06b28255df8089e.html,Serious,Page language attribute does not match the actual language of the content.," <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>"
